Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
17/08/13,5fc4529d9280f04a4cadda3d,5fc4529d9280f04a4cadda4c,1.0,3.0,A,1.0,1.0,D,5fc451059280f04a4cad63c8,16.0,9.0,4.0,4.0,15.0,18.0,4.0,3.0,4.0,5.0,1.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda3c,1.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63c7,26.0,10.0,11.0,4.0,11.0,11.0,12.0,6.0,1.0,1.0,0.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda40,5fc4529d9280f04a4cadda36,2.0,2.0,D,0.0,0.0,D,5fc451059280f04a4cad63cc,8.0,19.0,2.0,6.0,13.0,10.0,6.0,8.0,2.0,0.0,0.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda37,0.0,1.0,A,0.0,0.0,D,5fc451059280f04a4cad63c9,20.0,5.0,3.0,1.0,14.0,14.0,6.0,1.0,0.0,3.0,0.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda43,5fc4529d9280f04a4cadda41,1.0,4.0,A,0.0,2.0,A,5fc451059280f04a4cad63d5,17.0,15.0,6.0,7.0,13.0,10.0,7.0,4.0,1.0,3.0,0.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda3b,0.0,1.0,A,0.0,0.0,D,5fc451059280f04a4cad63cf,11.0,7.0,1.0,2.0,14.0,24.0,4.0,8.0,4.0,0.0,0.0,0.0,2013-14
17/08/13,5fc4529d9280f04a4cadda38,5fc4529d9280f04a4cadda3e,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63cb,18.0,12.0,4.0,1.0,10.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,2013-14
18/08/13,5fc4529d9280f04a4cadda46,5fc4529d9280f04a4cadda39,2.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63d0,22.0,7.0,5.0,2.0,7.0,16.0,5.0,1.0,0.0,1.0,0.0,0.0,2013-14
18/08/13,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda49,0.0,1.0,A,0.0,0.0,D,5fc451059280f04a4cad63d4,5.0,17.0,3.0,2.0,6.0,9.0,3.0,7.0,1.0,0.0,0.0,0.0,2013-14
19/08/13,5fc4529d9280f04a4cadda3f,5fc4529d9280f04a4cadda3a,4.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63d8,20.0,5.0,11.0,1.0,9.0,7.0,8.0,1.0,2.0,3.0,0.0,1.0,2013-14
21/08/13,5fc4529d9280f04a4cadda46,5fc4529d9280f04a4cadda4c,2.0,1.0,H,1.0,1.0,D,5fc451059280f04a4cad63cf,15.0,7.0,3.0,3.0,12.0,13.0,1.0,2.0,1.0,4.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda4c,5fc4529d9280f04a4cadda4d,0.0,1.0,A,0.0,1.0,A,5fc451059280f04a4cad63d4,17.0,5.0,3.0,1.0,9.0,8.0,8.0,2.0,3.0,3.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda35,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63d3,22.0,7.0,8.0,2.0,14.0,15.0,11.0,1.0,1.0,1.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda37,5fc4529d9280f04a4cadda3d,1.0,3.0,A,0.0,2.0,A,5fc451059280f04a4cad63cb,16.0,18.0,7.0,7.0,10.0,8.0,1.0,8.0,2.0,2.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda39,5fc4529d9280f04a4cadda40,1.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63ca,6.0,13.0,1.0,4.0,14.0,19.0,1.0,5.0,1.0,1.0,1.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda3a,5fc4529d9280f04a4cadda38,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63d5,16.0,6.0,0.0,1.0,12.0,14.0,5.0,4.0,0.0,1.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda3b,5fc4529d9280f04a4cadda4b,1.0,1.0,D,0.0,1.0,A,5fc451059280f04a4cad63dd,17.0,8.0,6.0,3.0,12.0,13.0,5.0,2.0,2.0,2.0,0.0,0.0,2013-14
24/08/13,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda47,2.0,1.0,H,0.0,1.0,A,5fc451059280f04a4cad63d8,14.0,14.0,5.0,5.0,13.0,6.0,7.0,0.0,3.0,0.0,0.0,0.0,2013-14
25/08/13,5fc4529d9280f04a4cadda3e,5fc4529d9280f04a4cadda3f,3.0,2.0,H,0.0,0.0,D,5fc451059280f04a4cad63cd,9.0,16.0,6.0,5.0,2.0,9.0,3.0,8.0,0.0,0.0,0.0,0.0,2013-14
25/08/13,5fc4529d9280f04a4cadda49,5fc4529d9280f04a4cadda43,1.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63c9,19.0,7.0,5.0,5.0,10.0,15.0,8.0,3.0,1.0,4.0,0.0,0.0,2013-14
26/08/13,5fc4529d9280f04a4cadda41,5fc4529d9280f04a4cadda46,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63c7,13.0,8.0,3.0,4.0,9.0,9.0,4.0,1.0,0.0,2.0,0.0,0.0,2013-14
31/08/13,5fc4529d9280f04a4cadda3e,5fc4529d9280f04a4cadda36,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63c8,4.0,13.0,1.0,3.0,11.0,9.0,4.0,5.0,1.0,1.0,0.0,0.0,2013-14
31/08/13,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda4b,3.0,1.0,H,1.0,0.0,H,5fc451059280f04a4cad63cd,17.0,10.0,6.0,2.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,2013-14
31/08/13,5fc4529d9280f04a4cadda3f,5fc4529d9280f04a4cadda39,2.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63d5,12.0,7.0,6.0,2.0,15.0,14.0,7.0,4.0,2.0,3.0,0.0,0.0,2013-14
