_id,Name
ObjectId(5fc4529d9280f04a4cadda35),West Brom
ObjectId(5fc4529d9280f04a4cadda36),Everton
ObjectId(5fc4529d9280f04a4cadda37),Fulham
ObjectId(5fc4529d9280f04a4cadda38),West Ham
ObjectId(5fc4529d9280f04a4cadda39),Hull
ObjectId(5fc4529d9280f04a4cadda3a),Newcastle
ObjectId(5fc4529d9280f04a4cadda3b),Southampton
ObjectId(5fc4529d9280f04a4cadda3c),Stoke
ObjectId(5fc4529d9280f04a4cadda3d),Arsenal
ObjectId(5fc4529d9280f04a4cadda3e),Cardiff
ObjectId(5fc4529d9280f04a4cadda3f),Man City
ObjectId(5fc4529d9280f04a4cadda40),Norwich
ObjectId(5fc4529d9280f04a4cadda41),Man United
ObjectId(5fc4529d9280f04a4cadda42),Leicester
ObjectId(5fc4529d9280f04a4cadda43),Swansea
ObjectId(5fc4529d9280f04a4cadda44),QPR
ObjectId(5fc4529d9280f04a4cadda45),Burnley
ObjectId(5fc4529d9280f04a4cadda46),Chelsea
ObjectId(5fc4529d9280f04a4cadda47),Crystal Palace
ObjectId(5fc4529d9280f04a4cadda48),Watford
ObjectId(5fc4529d9280f04a4cadda49),Tottenham
ObjectId(5fc4529d9280f04a4cadda4a),Bournemouth
ObjectId(5fc4529d9280f04a4cadda4b),Sunderland
ObjectId(5fc4529d9280f04a4cadda4c),Aston Villa
ObjectId(5fc4529d9280f04a4cadda4d),Liverpool
ObjectId(5fc4529d9280f04a4cadda4e),Middlesbrough
ObjectId(5fc4529d9280f04a4cadda4f),Huddersfield
ObjectId(5fc4529d9280f04a4cadda50),Brighton
ObjectId(5fc4529d9280f04a4cadda51),Wolves
